mexico freed us marine reservist sgt|us|,墨西哥,释放,我们,海洋,预备役,上士|我们|我们|pronoun|我们|我们|我们(pronoun)+|
it is with an overwhelming and humbling feeling of relief that we confirm that andrew was released today after spending 214 days in mexican jail|after|它,是,救济,的,具有,压倒性,的,和,谦卑,我们,确认,安德鲁,获释,今天,在,墨西哥,的,监狱,中,度过,214,天,后,的,感觉|后|后|preposition|之后|后|后(adverb)+以后(adverb)+后面(adverb)+之后(preposition)+经过(preposition)+以后(preposition)+经(preposition)+余(preposition)+以后的(adjective)+接着(conjunction)+然后(conjunction)+随之而后(conjunction)+|
it is with an overwhelming and humbling feeling of relief that we confirm that andrew was released today after spending 214 days in mexican jail|jail|它,是,救济,的,具有,压倒性,的,和,谦卑,我们,确认,安德鲁,获释,今天,在,墨西哥,的,监狱,中,度过,214,天,后,的,感觉|监狱|监狱|noun|监狱|监狱|监狱(noun)+牢(noun)+监(noun)+犴(noun)+豻(noun)+班房(noun)+狴(noun)+拘留所(noun)+囚牢(noun)+狱(noun)+入狱(verb)+监禁(verb)+关押(verb)+圈(verb)+囚禁(verb)+|
relatives said in a statement friday night|statement|在,周五,晚上,的,一,份,声明,中,说,的,亲戚|声明|声明|noun|声明|声明|声明(noun)+陈述(noun)+说法(noun)+词(noun)+发表(noun)+发痒(noun)+论(noun)+声明书(noun)+树(noun)+树立(noun)+诉(noun)+诉说(noun)+诉状(noun)+新闻公报(noun)+臆测(noun)+|
relatives said in a statement friday night|night|在,周五,晚上,的,一,份,声明,中,说,的,亲戚|晚|晚上|noun|晚|晚|晚(noun)+夜(noun)+夜晚(noun)+黑暗(noun)+晦(noun)+宵(noun)+宿(noun)+曛(noun)+夜晚的(adjective)+|
a court ordered that tahmooressi|court|一,家,法院,下令,tahmooressi|||noun|法庭|法庭|法庭(noun)+球场(noun)+庭(noun)+朝(noun)+堂(noun)+博取(verb)+求爱(verb)+招致(verb)+追求(verb)+|
whod been held on weapons charges be freed a mexican federal government news release said|federal|书,被,日,举行,的,武器,收费,会,释放,说,：,,墨西哥,联邦,政府,新闻,发布|联邦|联邦|adjective|联邦|联邦|联邦(adjective)+联合的(adjective)+联邦的人(noun)+|
whod been held on weapons charges be freed a mexican federal government news release said|government|书,被,日,举行,的,武器,收费,会,释放,说,：,,墨西哥,联邦,政府,新闻,发布|政府|政府|noun|政府|政府|政府(noun)+内阁(noun)+辖(noun)+|
whod been held on weapons charges be freed a mexican federal government news release said|news|书,被,日,举行,的,武器,收费,会,释放,说,：,,墨西哥,联邦,政府,新闻,发布|新闻|新闻|noun|新闻|新闻|新闻(noun)+消息(noun)+息(noun)+信息(noun)+讯(noun)+音(noun)+音信(noun)+|
whod been held on weapons charges be freed a mexican federal government news release said|release|书,被,日,举行,的,武器,收费,会,释放,说,：,,墨西哥,联邦,政府,新闻,发布|释放|释放|noun|释放|推出|推出(verb)+释放(verb)+发布(verb)+放(verb)+松开(verb)+发行(verb)+放出(verb)+发(verb)+放松(verb)+豁免(verb)+释(verb)+摴(verb)+松(verb)+泄(verb)+营救(verb)+纵(verb)+释放(noun)+版本(noun)+放出(noun)+首映(noun)+|
tahmooressi was arrested march 31 at a tijuana mexico checkpoint after mexican customs agents found three firearms in his truck|after|tahmooressi,被,逮捕,3,月,31,日,在,蒂华纳,墨西哥,边境,检查站,后,墨西哥,海关,人员,发现,三,把,手枪,，,在,他,的,卡车|后|后|preposition|之后|后|后(adverb)+以后(adverb)+后面(adverb)+之后(preposition)+经过(preposition)+以后(preposition)+经(preposition)+余(preposition)+以后的(adjective)+接着(conjunction)+然后(conjunction)+随之而后(conjunction)+|
tahmooressi was arrested march 31 at a tijuana mexico checkpoint after mexican customs agents found three firearms in his truck|found|tahmooressi,被,逮捕,3,月,31,日,在,蒂华纳,墨西哥,边境,检查站,后,墨西哥,海关,人员,发现,三,把,手枪,，,在,他,的,卡车|||verb|成立|成立|成立(verb)+创办(verb)+创建(verb)+创立(verb)+创设(verb)+缔造(verb)+建(verb)+建立(verb)+立(verb)+设(verb)+设立(verb)+铄(verb)+塑造(verb)+铸(verb)+铸成(verb)+铸造(verb)+勘查(noun)+勘探(noun)+|
tahmooressi was arrested march 31 at a tijuana mexico checkpoint after mexican customs agents found three firearms in his truck|three|tahmooressi,被,逮捕,3,月,31,日,在,蒂华纳,墨西哥,边境,检查站,后,墨西哥,海关,人员,发现,三,把,手枪,，,在,他,的,卡车|三|三|CD||三|三()+|
tahmooressi was arrested march 31 at a tijuana mexico checkpoint after mexican customs agents found three firearms in his truck|truck|tahmooressi,被,逮捕,3,月,31,日,在,蒂华纳,墨西哥,边境,检查站,后,墨西哥,海关,人员,发现,三,把,手枪,，,在,他,的,卡车|卡车|卡车|noun|卡车|卡车|卡车(noun)+货车(noun)+废物(noun)+|
including a 45-caliber pistol a pump shotgun and an ar-15 rifle|pump|包括,45,口径,手枪,唧筒式,猎枪,和,ar,-,15,步枪|唧筒|唧筒式|noun|抽水机|抽|抽(verb)+抽水(verb)+打气(verb)+唧(verb)+唧筒(verb)+潏(verb)+套(verb)+抽水机(noun)+唧筒(noun)+|
including a 45-caliber pistol a pump shotgun and an ar-15 rifle|rifle|包括,45,口径,手枪,唧筒式,猎枪,和,ar,-,15,步枪|步枪|步枪|noun|步枪|步枪|步枪(noun)+枪(noun)+来福枪(noun)+轮(noun)+枪杆(noun)+|
mexicos strict federal gun laws prohibit anyone from illegally bringing weapons into the country|strict|mexicos,严格,的,联邦,枪支,法律,禁止,任何,人,非法,携带,武器,，,并,完成,全国|严格|严格|adjective|严格|严格|严格(adjective)+严(adjective)+严谨(adjective)+严密(adjective)+过份周到的(adjective)+过份注意的(adjective)+紧(adjective)+精密(adjective)+剧烈(adjective)+厉(adjective)+凛(adjective)+森严(adjective)+严竣(adjective)+严厉(adjective)+|
mexicos strict federal gun laws prohibit anyone from illegally bringing weapons into the country|federal|mexicos,严格,的,联邦,枪支,法律,禁止,任何,人,非法,携带,武器,，,并,完成,全国|联邦|联邦|adjective|联邦|联邦|联邦(adjective)+联合的(adjective)+联邦的人(noun)+|
mexicos strict federal gun laws prohibit anyone from illegally bringing weapons into the country|prohibit|mexicos,严格,的,联邦,枪支,法律,禁止,任何,人,非法,携带,武器,，,并,完成,全国|禁止|禁止|verb|禁止|禁止|禁止(verb)+阻止(verb)+不准(verb)+查禁(verb)+诫(verb)+禁(verb)+|
mexicos strict federal gun laws prohibit anyone from illegally bringing weapons into the country|anyone|mexicos,严格,的,联邦,枪支,法律,禁止,任何,人,非法,携带,武器,，,并,完成,全国|任何人||noun||谁|谁(pronoun)+任何人(pronoun)+重要人物(pronoun)+|
mexicos strict federal gun laws prohibit anyone from illegally bringing weapons into the country|country|mexicos,严格,的,联邦,枪支,法律,禁止,任何,人,非法,携带,武器,，,并,完成,全国|国|全国|noun|国家|国家|国家(noun)+国(noun)+乡村(noun)+我国(noun)+邦(noun)+本土(noun)+国度(noun)+国人(noun)+江山(noun)+乡(noun)+乡下(noun)+农村的(adjective)+乡村的(adjective)+|
tahmooressi family spokesman jonathan franks said friday night in a statement:|family|tahmooressi,家族,发言人,乔纳森,·,弗兰克斯,说,的,周五,晚上,在,一,份,声明,：|家族|家族|noun|家庭|家庭|家庭(noun)+家族(noun)+家人(noun)+家(noun)+户(noun)+家眷(noun)+科(noun)+僚属(noun)+系(noun)+|
tahmooressi family spokesman jonathan franks said friday night in a statement:|spokesman|tahmooressi,家族,发言人,乔纳森,·,弗兰克斯,说,的,周五,晚上,在,一,份,声明,：|发言人|发言人|noun|发言人|发言人|发言人(noun)+演说者(noun)+扬声器(noun)+议长(noun)+|
tahmooressi family spokesman jonathan franks said friday night in a statement:|night|tahmooressi,家族,发言人,乔纳森,·,弗兰克斯,说,的,周五,晚上,在,一,份,声明,：|晚|晚上|noun|晚|晚|晚(noun)+夜(noun)+夜晚(noun)+黑暗(noun)+晦(noun)+宵(noun)+宿(noun)+曛(noun)+夜晚的(adjective)+|
the family is overjoyed|family|家庭,被,大喜,过望|||noun|家庭|家庭|家庭(noun)+家族(noun)+家人(noun)+家(noun)+户(noun)+家眷(noun)+科(noun)+僚属(noun)+系(noun)+|
they are asking for privacy at this time|time|在,这个,时候,他们,正在,寻求,隐私|时候|时候|noun|时间|时间|时间(noun)+时(noun)+时候(noun)+时刻(noun)+遍(noun)+辰(noun)+度(noun)+工夫(noun)+光阴(noun)+候(noun)+季节(noun)+年份(noun)+年华(noun)+倍(noun)+拍(noun)+拍子(noun)+期(noun)+期间(noun)+秋(noun)+趟(noun)+年头(noun)+安排正在(verb)+|
the court said it found no cause to prosecute tahmooressi on charges of carrying two firearms used exclusively by the military|court|法院,说,它,找不到,理由,起诉,罪名,是,携带,两,支,枪,，,只,供,军方,使用,的,tahmooressi|||noun|法庭|法庭|法庭(noun)+球场(noun)+庭(noun)+朝(noun)+堂(noun)+博取(verb)+求爱(verb)+招致(verb)+追求(verb)+|
the court said it found no cause to prosecute tahmooressi on charges of carrying two firearms used exclusively by the military|found|法院,说,它,找不到,理由,起诉,罪名,是,携带,两,支,枪,，,只,供,军方,使用,的,tahmooressi|||verb|成立|成立|成立(verb)+创办(verb)+创建(verb)+创立(verb)+创设(verb)+缔造(verb)+建(verb)+建立(verb)+立(verb)+设(verb)+设立(verb)+铄(verb)+塑造(verb)+铸(verb)+铸成(verb)+铸造(verb)+勘查(noun)+勘探(noun)+|
the court said it found no cause to prosecute tahmooressi on charges of carrying two firearms used exclusively by the military|no|法院,说,它,找不到,理由,起诉,罪名,是,携带,两,支,枪,，,只,供,军方,使用,的,tahmooressi|不|找不到|DT||没有|没有(adjective)+不(adjective)+无(adverb)+不然(adverb)+不(noun)+拒绝(noun)+莫(particle)+毋(particle)+|
the court said it found no cause to prosecute tahmooressi on charges of carrying two firearms used exclusively by the military|cause|法院,说,它,找不到,理由,起诉,罪名,是,携带,两,支,枪,，,只,供,军方,使用,的,tahmooressi|由|理由|noun|原因|原因|原因(noun)+事业(noun)+起因(noun)+因(noun)+根底(noun)+故(noun)+来头(noun)+来由(noun)+业(noun)+因缘(noun)+由(noun)+原(noun)+缘故(noun)+缘由(noun)+导致(verb)+引起(verb)+使(verb)+使得(verb)+俾(verb)+促成(verb)+促使(verb)+令(verb)+令人(verb)+惹(verb)+引(verb)+致(verb)+致使(verb)+|
the court said it found no cause to prosecute tahmooressi on charges of carrying two firearms used exclusively by the military|two|法院,说,它,找不到,理由,起诉,罪名,是,携带,两,支,枪,，,只,供,军方,使用,的,tahmooressi|||CD||二|二()+双()+贰(noun)+|
the court said it found no cause to prosecute tahmooressi on charges of carrying two firearms used exclusively by the military|used|法院,说,它,找不到,理由,起诉,罪名,是,携带,两,支,枪,，,只,供,军方,使用,的,tahmooressi|||verb||旧|旧(adjective)+惯(adjective)+过去惯常(adjective)+|
the court said it found no cause to prosecute tahmooressi on charges of carrying two firearms used exclusively by the military|military|法院,说,它,找不到,理由,起诉,罪名,是,携带,两,支,枪,，,只,供,军方,使用,的,tahmooressi|军方|军方|adjective|军事|军事|军事(adjective)+军用(adjective)+军(adjective)+军方(adjective)+兵(adjective)+武(adjective)+军队(noun)+|
possessing cartridges used exclusively by the military and carrying a firearm without a license|used|拥有,只,供,军方,使用,的,墨盒,和,携带,火器,的,许可证|||verb||旧|旧(adjective)+惯(adjective)+过去惯常(adjective)+|
possessing cartridges used exclusively by the military and carrying a firearm without a license|military|拥有,只,供,军方,使用,的,墨盒,和,携带,火器,的,许可证|军方|军方|adjective|军事|军事|军事(adjective)+军用(adjective)+军(adjective)+军方(adjective)+兵(adjective)+武(adjective)+军队(noun)+|
possessing cartridges used exclusively by the military and carrying a firearm without a license|without|拥有,只,供,军方,使用,的,墨盒,和,携带,火器,的,许可证|||preposition|离|在外|在外(adverb)+离(preposition)+在外(noun)+|
possessing cartridges used exclusively by the military and carrying a firearm without a license|license|拥有,只,供,军方,使用,的,墨盒,和,携带,火器,的,许可证|许可证|许可证|noun|许可|许可|许可(noun)+许可证(noun)+牌照(noun)+执照(noun)+凭照(noun)+肆(noun)+肆意(noun)+|
the court also recommended he be treated for post-traumatic stress disorder|court|法院,还,建议,他,可以,治疗,创伤,后,应激,障碍|||noun|法庭|法庭|法庭(noun)+球场(noun)+庭(noun)+朝(noun)+堂(noun)+博取(verb)+求爱(verb)+招致(verb)+追求(verb)+|
the court also recommended he be treated for post-traumatic stress disorder|also|法院,还,建议,他,可以,治疗,创伤,后,应激,障碍|还|还|adverb|也|也|也(adverb)+还(adverb)+亦(adverb)+还有(adverb)+又(adverb)+并(adverb)+载(adverb)+|
the court also recommended he be treated for post-traumatic stress disorder|stress|法院,还,建议,他,可以,治疗,创伤,后,应激,障碍|||noun|应力|强调|强调(verb)+厚(verb)+讲(verb)+突出(verb)+硬说(verb)+注重(verb)+抓(verb)+应力(noun)+应激状态(noun)+镇(noun)+重点(noun)+重音(noun)+|
the court also recommended he be treated for post-traumatic stress disorder|disorder|法院,还,建议,他,可以,治疗,创伤,后,应激,障碍|||noun|紊乱|紊乱|紊乱(noun)+毛病(noun)+搅乱(verb)+使不适(verb)+|
his mother jill told cnn in may that tahmooressi|mother|他,的,母亲,吉尔,告诉,有线,电视,新闻网,可能,那,tahmooressi|母亲|母亲|noun|母亲|母亲|母亲(noun)+母(noun)+娘(noun)+仉(noun)+收养(verb)+|
who served with the marines in afghanistan had moved to the san ysidro california area to get treatment for post-traumatic stress disorder|who|人,送达,阿富汗,的,海军,陆战,队员,已经,搬到,圣,·,伊西德,罗,加利福尼亚,地区,得到,创伤,后,应激,障碍,的,治疗|||pronoun|谁|谁|谁(pronoun)+何人(pronoun)+孰(pronoun)+|
who served with the marines in afghanistan had moved to the san ysidro california area to get treatment for post-traumatic stress disorder|area|人,送达,阿富汗,的,海军,陆战,队员,已经,搬到,圣,·,伊西德,罗,加利福尼亚,地区,得到,创伤,后,应激,障碍,的,治疗|地区|地区|noun|区|区|区(noun)+区域(noun)+地区(noun)+面积(noun)+领域(noun)+带(noun)+地方(noun)+地域(noun)+范围(noun)+境(noun)+空地(noun)+|
who served with the marines in afghanistan had moved to the san ysidro california area to get treatment for post-traumatic stress disorder|get|人,送达,阿富汗,的,海军,陆战,队员,已经,搬到,圣,·,伊西德,罗,加利福尼亚,地区,得到,创伤,后,应激,障碍,的,治疗|得到|得到|verb|得到|得到|得到(verb)+获得(verb)+得(verb)+博(verb)+搞(verb)+将(verb)+领(verb)+弄(verb)+取(verb)+收到(verb)+受到(verb)+搜罗(verb)+|
who served with the marines in afghanistan had moved to the san ysidro california area to get treatment for post-traumatic stress disorder|treatment|人,送达,阿富汗,的,海军,陆战,队员,已经,搬到,圣,·,伊西德,罗,加利福尼亚,地区,得到,创伤,后,应激,障碍,的,治疗|治疗|治疗|noun|治疗|治疗|治疗(noun)+待遇(noun)+对待(noun)+疗法(noun)+顺(noun)+医(noun)+治(noun)+|
who served with the marines in afghanistan had moved to the san ysidro california area to get treatment for post-traumatic stress disorder|stress|人,送达,阿富汗,的,海军,陆战,队员,已经,搬到,圣,·,伊西德,罗,加利福尼亚,地区,得到,创伤,后,应激,障碍,的,治疗|||noun|应力|强调|强调(verb)+厚(verb)+讲(verb)+突出(verb)+硬说(verb)+注重(verb)+抓(verb)+应力(noun)+应激状态(noun)+镇(noun)+重点(noun)+重音(noun)+|
who served with the marines in afghanistan had moved to the san ysidro california area to get treatment for post-traumatic stress disorder|disorder|人,送达,阿富汗,的,海军,陆战,队员,已经,搬到,圣,·,伊西德,罗,加利福尼亚,地区,得到,创伤,后,应激,障碍,的,治疗|||noun|紊乱|紊乱|紊乱(noun)+毛病(noun)+搅乱(verb)+使不适(verb)+|
he has unresolved or untreated ptsd|or|他,已,无法,解析,或,未,经,治疗,ptsd|或|或|CC||或|或(conjunction)+或者(conjunction)+还是(conjunction)+抑或(conjunction)+要不(conjunction)+抑(conjunction)+|
and he cannot get the cognitive therapy behavior that veterans of america receive  in a mexico jail|get|他,拿,不,到,的,美国,老兵们,获得,了,在,墨西哥,的,一,所,监狱,中,的,认知,疗法,行为|获得|获得|adverb||得到|得到(verb)+获得(verb)+得(verb)+博(verb)+搞(verb)+将(verb)+领(verb)+弄(verb)+取(verb)+收到(verb)+受到(verb)+搜罗(verb)+|
and he cannot get the cognitive therapy behavior that veterans of america receive  in a mexico jail|therapy|他,拿,不,到,的,美国,老兵们,获得,了,在,墨西哥,的,一,所,监狱,中,的,认知,疗法,行为|疗法|疗法|adjective||治疗|治疗(noun)+疗法(noun)+|
and he cannot get the cognitive therapy behavior that veterans of america receive  in a mexico jail|behavior|他,拿,不,到,的,美国,老兵们,获得,了,在,墨西哥,的,一,所,监狱,中,的,认知,疗法,行为|行为|行为|noun|行为|行为|行为(noun)+特性(noun)+表现(noun)+操行(noun)+品行(noun)+生活作风(noun)+行(noun)+行事(noun)+行止(noun)+做法(noun)+|
and he cannot get the cognitive therapy behavior that veterans of america receive  in a mexico jail|receive|他,拿,不,到,的,美国,老兵们,获得,了,在,墨西哥,的,一,所,监狱,中,的,认知,疗法,行为|获得|获得|noun||接收|接收(verb)+收到(verb)+接受(verb)+获得(verb)+得到(verb)+领取(verb)+收(verb)+承受(verb)+蒙(verb)+领(verb)+进(verb)+接见(verb)+接待(verb)+接(verb)+会客(verb)+奉(verb)+吃(verb)+承(verb)+遭受(verb)+遭到(verb)+遭(verb)+遇到(verb)+著(verb)+膺(verb)+扱(verb)+受到(verb)+受(verb)+迎接(verb)+|
and he cannot get the cognitive therapy behavior that veterans of america receive  in a mexico jail|jail|他,拿,不,到,的,美国,老兵们,获得,了,在,墨西哥,的,一,所,监狱,中,的,认知,疗法,行为|监狱|监狱|noun|监狱|监狱|监狱(noun)+牢(noun)+监(noun)+犴(noun)+豻(noun)+班房(noun)+狴(noun)+拘留所(noun)+囚牢(noun)+狱(noun)+入狱(verb)+监禁(verb)+关押(verb)+圈(verb)+囚禁(verb)+|
where there is no such thing|where|那里,有,没,有,这,种,东西|||adverb|哪里|哪里|哪里(adverb)+何处(adverb)+哪儿(adverb)+曷(adverb)+何在(adverb)+往哪里(adverb)+奚(adverb)+|
where there is no such thing|there|那里,有,没,有,这,种,东西|||EX||那里|那里(adverb)+那边(adverb)+那儿(adverb)+往那里(adverb)+|
where there is no such thing|no|那里,有,没,有,这,种,东西|没有||DT||没有|没有(adjective)+不(adjective)+无(adverb)+不然(adverb)+不(noun)+拒绝(noun)+莫(particle)+毋(particle)+|
where there is no such thing|such|那里,有,没,有,这,种,东西|||adjective|这样|这样|这样(adjective)+其(adjective)+偌(adjective)+这么(adjective)+斯(pronoun)+|
where there is no such thing|thing|那里,有,没,有,这,种,东西|东西|东西|noun|事情|事情|事情(noun)+东西(noun)+事(noun)+事物(noun)+物(noun)+事儿(noun)+玩意儿(noun)+物件(noun)+项(noun)+项目(noun)+一项(noun)+|
his mother told cnn earlier this year|mother|他,的,母亲,告诉,有线,电视,新闻网,今年,早些,时候|母亲|母亲|noun|母亲|母亲|母亲(noun)+母(noun)+娘(noun)+仉(noun)+收养(verb)+|
his mother told cnn earlier this year|year|他,的,母亲,告诉,有线,电视,新闻网,今年,早些,时候|年|今年|noun|年|年|年(noun)+年度(noun)+岁(noun)+春秋(noun)+年头(noun)+秋(noun)+|
since his arrest tahmooressi has maintained that he took a wrong turn on the california side of the border into tijuana and accidentally crossed the border|arrest|自,他,逮捕,tahmooressi,一直,保持,他,拐,错,一,个,弯,上,加利福尼亚,这,一,侧,的,边界,到,蒂华纳,和,不小心,越过,边界|逮捕|逮捕|noun|逮捕|逮捕|逮捕(verb)+拘捕(verb)+拘(verb)+阻止(verb)+抓(verb)+捉拿(verb)+捕(verb)+捕拿(verb)+逮(verb)+禁(verb)+扣(verb)+扣留(verb)+擒拿(verb)+逮捕(noun)+拘留(noun)+|
since his arrest tahmooressi has maintained that he took a wrong turn on the california side of the border into tijuana and accidentally crossed the border|wrong|自,他,逮捕,tahmooressi,一直,保持,他,拐,错,一,个,弯,上,加利福尼亚,这,一,侧,的,边界,到,蒂华纳,和,不小心,越过,边界|错|错|adjective|错误|错误|错误(adjective)+错(adjective)+不对(adjective)+不平(adjective)+坏透的(adjective)+谬(adjective)+曲(adjective)+错(adverb)+邪恶(adverb)+冤屈(verb)+过失(noun)+坏事(noun)+屈(noun)+冤(noun)+|
since his arrest tahmooressi has maintained that he took a wrong turn on the california side of the border into tijuana and accidentally crossed the border|turn|自,他,逮捕,tahmooressi,一直,保持,他,拐,错,一,个,弯,上,加利福尼亚,这,一,侧,的,边界,到,蒂华纳,和,不小心,越过,边界|拐|拐|noun|翻|转|转(verb)+转动(verb)+翻(verb)+掉(verb)+翻倒(verb)+拐(verb)+化(verb)+捩(verb)+轮流(verb)+纽(verb)+弯(verb)+斡(verb)+摇(verb)+翻(noun)+车(noun)+翻倒(noun)+翻转(noun)+轮流(noun)+顺序(noun)+弯子(noun)+|
since his arrest tahmooressi has maintained that he took a wrong turn on the california side of the border into tijuana and accidentally crossed the border|side|自,他,逮捕,tahmooressi,一直,保持,他,拐,错,一,个,弯,上,加利福尼亚,这,一,侧,的,边界,到,蒂华纳,和,不小心,越过,边界|侧|侧|noun|侧|侧|侧(noun)+边(noun)+侧面(noun)+方面(noun)+面(noun)+半边(noun)+帮(noun)+帮派(noun)+面儿(noun)+畔(noun)+旁(noun)+旁边(noun)+头(noun)+向(noun)+翼(noun)+侧(verb)+耳(adjective)+|
since his arrest tahmooressi has maintained that he took a wrong turn on the california side of the border into tijuana and accidentally crossed the border|border|自,他,逮捕,tahmooressi,一直,保持,他,拐,错,一,个,弯,上,加利福尼亚,这,一,侧,的,边界,到,蒂华纳,和,不小心,越过,边界|边界|边界|noun|边界|边界|边界(noun)+边境(noun)+边(noun)+界(noun)+边际(noun)+陲(noun)+花坛(noun)+际(noun)+疆(noun)+境(noun)+境界(noun)+毗(noun)+圻(noun)+镶(noun)+涯(noun)+埸(noun)+疆界(noun)+接壤(verb)+濒(verb)+濒临(verb)+邻接(verb)+毘(verb)+同 ... 交界(verb)+|
since his arrest tahmooressi has maintained that he took a wrong turn on the california side of the border into tijuana and accidentally crossed the border|border|自,他,逮捕,tahmooressi,一直,保持,他,拐,错,一,个,弯,上,加利福尼亚,这,一,侧,的,边界,到,蒂华纳,和,不小心,越过,边界|边界|边界|noun|边界|边界|边界(noun)+边境(noun)+边(noun)+界(noun)+边际(noun)+陲(noun)+花坛(noun)+际(noun)+疆(noun)+境(noun)+境界(noun)+毗(noun)+圻(noun)+镶(noun)+涯(noun)+埸(noun)+疆界(noun)+接壤(verb)+濒(verb)+濒临(verb)+邻接(verb)+毘(verb)+同 ... 交界(verb)+|
in an interview with cnn|interview|在,cnn,的,采访,中|||noun|晤面|访问|访问(verb)+走访(verb)+晤面(noun)+|
i had one hand above my head not both just one|one|我,有,一,只,手,我,头顶,并不,都,只是,一,个|一|一|CD||一|一()+之一()+壹()+|
i had one hand above my head not both just one|hand|我,有,一,只,手,我,头顶,并不,都,只是,一,个|手|手|noun|手|手|手(noun)+巴掌(noun)+笔迹(noun)+雇员(noun)+人(noun)+手的(adjective)+递交(verb)+|
i had one hand above my head not both just one|above|我,有,一,只,手,我,头顶,并不,都,只是,一,个|||preposition|以上|以上|以上(preposition)+上(preposition)+在 ... 之上(preposition)+|
i had one hand above my head not both just one|head|我,有,一,只,手,我,头顶,并不,都,只是,一,个|头|头顶|noun|头|头|头(noun)+头部(noun)+总(noun)+主任(noun)+督办(noun)+魁(noun)+领袖(noun)+首(noun)+首领(noun)+首脑(noun)+长(noun)+前进(verb)+率领(verb)+为首(verb)+养(verb)+羑(verb)+|
i had one hand above my head not both just one|not|我,有,一,只,手,我,头顶,并不,都,只是,一,个|不|并不|adverb|不|不|不(adverb)+未(adverb)+无(adverb)+非(adverb)+弗(adverb)+没(adverb)+靡(adverb)+叵(adverb)+毋(adverb)+|
i had one hand above my head not both just one|both|我,有,一,只,手,我,头顶,并不,都,只是,一,个|都|都|DT||都|都(adjective)+两(adjective)+二者(adjective)+俩(adjective)+两(pronoun)+双(pronoun)+|
